name_item,name,gender,concatenated
Q16278542,Lothar,male,Lothar_male
Q19967625,Margarethe,female,Margarethe_female
Q18171848,Amalie,female,Amalie_female
Q34999173,Budislav,male,Budislav_male
Q15106926,Hedda,female,Hedda_female
Q11166789,Justus,male,Justus_male
Q676823,Werner,male,Werner_male
Q15303956,Franko,male,Franko_male
Q16274713,Antun,male,Antun_male
Q12797317,Nasta,female,Nasta_female
Q12797325,Nataša,female,Nataša_female
Q1158570,Hermann,male,Hermann_male
Q25917001,Naďa,female,Naďa_female
Q19689450,Janine,female,Janine_female
Q4927589,Marcel,male,Marcel_male
Q56770038,Taťjana,female,Taťjana_female
Q15635267,Laurentius,male,Laurentius_male
Q19688780,Torsten,male,Torsten_male
Q587130,Vít,male,Vít_male
Q830177,Lilla,female,Lilla_female
Q16430091,Villa,female,Villa_female
Q4964415,Renata,female,Renata_female
Q7477462,Patricius,male,Patricius_male
Q16422363,Camilla,female,Camilla_female
Q16276304,Hans-Jürgen,male,Hans-Jürgen_male
Q19819750,Rich,male,Rich_male
Q16276444,حسن,male,حسن_male
Q1282843,Viliam,male,Viliam_male
Q1051881,Ilona,female,Ilona_female
Q18201513,Sarah,female,Sarah_female
Q898649,Branko,male,Branko_male
Q1073772,Baltazar,male,Baltazar_male
Q645412,Diana,female,Diana_female
Q2246251,Jens,male,Jens_male
Q15106707,Edeltraud,female,Edeltraud_female
Q16290827,Neklan,male,Neklan_male
Q4962499,Erika,female,Erika_female
Q12800474,Rozi,female,Rozi_female
Q12800476,Rozka,female,Rozka_female
Q18180124,Kliment,male,Kliment_male
Q2605834,Jaime,male,Jaime_male
Q3487834,Jasna,female,Jasna_female
Q24046163,Adalberta,female,Adalberta_female
Q18402571,Gordon,male,Gordon_male
Q1242655,Павел,male,Павел_male
Q10954134,Josip,male,Josip_male
Q1246129,Dorota,female,Dorota_female
Q602968,Zenon,male,Zenon_male
Q20010126,Matylda,female,Matylda_female
Q31849449,Drahomír,male,Drahomír_male
Q1602218,Václav,male,Václav_male
Q54835643,Johann Heinrich,male,Johann Heinrich_male
Q64576675,Jan Baptist,male,Jan Baptist_male
Q853609,Csaba,male,Csaba_male
Q108692795,Jens-Uwe,male,Jens-Uwe_male
Q853689,Peregrin,male,Peregrin_male
Q19968456,Yiannis,male,Yiannis_male
Q16275371,Denisa,female,Denisa_female
Q9393924,Łada,male,Łada_male
Q21400609,Herwig,male,Herwig_male
Q656590,Ingeborg,female,Ingeborg_female
Q15877163,Bohdan,male,Bohdan_male
Q18760903,Netta,unisex,Netta_unisex
Q14639862,Carsten,male,Carsten_male
Q18177267,Gotthard,male,Gotthard_male
Q2584148,Winfried,male,Winfried_male
Q18607893,Ahmed,male,Ahmed_male
Q84599751,Pavlína,female,Pavlína_female
Q2567080,Radmila,female,Radmila_female
Q20088051,Luba,female,Luba_female
Q18199009,Dominik,male,Dominik_male
Q7165927,Priscilla,female,Priscilla_female
Q19370861,Bernardus,male,Bernardus_male
Q13484571,Béla,male,Béla_male
Q16281647,Slavomír,male,Slavomír_male
Q11379871,Čestmír,male,Čestmír_male
Q10998835,Zbigniew,male,Zbigniew_male
Q1874605,Bruno,male,Bruno_male
Q1736622,Katja,female,Katja_female
Q713735,Aranka,female,Aranka_female
Q16282141,Tomáš,male,Tomáš_male
Q15925029,Quirico,male,Quirico_male
Q2874494,Avraham,male,Avraham_male
Q68760195,Metoděj,male,Metoděj_male
Q18201520,Sofia,female,Sofia_female
Q20963135,Van,male,Van_male
Q15897830,Petr,male,Petr_male
Q18571948,Věra,female,Věra_female
Q19689422,Gemma,female,Gemma_female
Q16277034,Ignác,male,Ignác_male
Q19816591,Kazimierz,male,Kazimierz_male
Q12805578,Verka,female,Verka_female
Q262891,Vjenceslava,female,Vjenceslava_female
Q18572472,Klaudie,female,Klaudie_female
Q21065948,Herrmann,male,Herrmann_male
Q1508902,Nina,female,Nina_female
Q61703203,Salesius,male,Salesius_male
Q14647205,Harold,male,Harold_male
Q28538505,Vácslav,male,Vácslav_male
Q12806708,Zlatica,female,Zlatica_female
Q396447,Maxim,male,Maxim_male
Q68762438,Otomar,male,Otomar_male
Q262119,Pamela,female,Pamela_female
Q2464083,Jorik,male,Jorik_male
Q11239338,Bořek,male,Bořek_male
Q16429602,Valentínus,male,Valentínus_male
Q734575,Gloria,female,Gloria_female
Q4927937,Robert,male,Robert_male
Q1576766,Volker,male,Volker_male
Q2630093,Jason,male,Jason_male
Q12338797,Tanja,female,Tanja_female
Q15041096,Krzysztof,male,Krzysztof_male
Q21147578,Camillus,,Camillus_unisex
Q16430050,Karla,female,Karla_female
Q12034409,Lumír,male,Lumír_male
Q19766044,Egidius,male,Egidius_male
Q16747215,Erwin,male,Erwin_male
Q19729788,Eliška,female,Eliška_female
Q988912,Ella,female,Ella_female
Q17856161,Růžena,female,Růžena_female
Q13548435,Dionýz,male,Dionýz_male
Q9353025,Sława,female,Sława_female
Q20883901,Fany,female,Fany_female
Q44528010,Michala,female,Michala_female
Q20019221,Adéla,female,Adéla_female
Q1294670,Stanislav,male,Stanislav_male
Q18057751,David,male,David_male
Q7498915,Heather,female,Heather_female
Q1035239,Helena,female,Helena_female
Q65594684,Albín,male,Albín_male
Q11878157,Elias,male,Elias_male
Q989544,Emöke,female,Emöke_female
Q2693525,Eve,unisex,Eve_unisex
Q16704171,Таисия,female,Таисия_female
Q1474819,Sandra,female,Sandra_female
Q1920728,Yves,male,Yves_male
Q2242896,Ebba,female,Ebba_female
Q16356333,Evita,female,Evita_female
Q476155,Enoch,male,Enoch_male
Q847179,Paula,female,Paula_female
Q1528655,Vlasta,unisex,Vlasta_unisex
Q909104,Dorian,male,Dorian_male
Q19967934,Hani,male,Hani_male
Q15727164,Filippo,male,Filippo_male
Q15868042,Jim,male,Jim_male
Q3240792,Lilia,female,Lilia_female
Q1312593,Vadim,male,Vadim_male
Q7626248,Stuart,male,Stuart_male
Q4963155,Kazi,unisex,Kazi_unisex
Q3439273,Niklas,male,Niklas_male
Q13371114,Ľubica,female,Ľubica_female
Q18115587,Yvonne,female,Yvonne_female
Q64876569,Jan Nepomuk,male,Jan Nepomuk_male
Q922876,Sidonia,female,Sidonia_female
Q18338226,Tatjana,female,Tatjana_female
Q20755014,Silvie,female,Silvie_female
Q1413630,Filipe,male,Filipe_male
Q1009842,Gereon,male,Gereon_male
Q39774269,Nélida,female,Nélida_female
Q16798217,Jean-Paul,male,Jean-Paul_male
Q15891793,Małgorzata,female,Małgorzata_female
Q3543756,Stanislava,female,Stanislava_female
Q13138161,Suzanne,female,Suzanne_female
Q1226314,Dinesh,male,Dinesh_male
Q16275071,Božena,female,Božena_female
Q61044456,Dobroslav,male,Dobroslav_male
Q381098,Benno,male,Benno_male
Q20798991,Jayne,female,Jayne_female
Q6949677,Mária,female,Mária_female
Q221332,Bernarda,female,Bernarda_female
Q768847,Augustinus,male,Augustinus_male
Q21061294,Vincentius,male,Vincentius_male
Q11287301,Mildred,female,Mildred_female
Q1237447,Pieter,male,Pieter_male
Q34997882,Cyril,male,Cyril_male
Q18141405,Marianna,female,Marianna_female
Q13501137,Jon,male,Jon_male
Q381702,Horst,male,Horst_male
Q22348511,Vojmír,male,Vojmír_male
Q1395016,Inka,female,Inka_female
Q18091373,Bianka,female,Bianka_female
Q4925477,John,male,John_male
Q2221177,Sandro,male,Sandro_male
Q1159033,Keith,male,Keith_male
Q18524243,Kateřina,female,Kateřina_female
Q20083701,만,,만_unisex
Q644599,Ida,female,Ida_female
Q13567058,Pero,male,Pero_male
Q12020336,Horymír,male,Horymír_male
Q18194760,Bea,female,Bea_female
