_id,151a
ge114024,Český Ulbárov (Ukrajina)
ge114028,Předměřice nad Jizerou (Česko)
ge114128,"Hlavatce (České Budějovice, Česko)"
ge114162,Năsăud (Rumunsko)
ge114200,Bistriţa-Năsăud (Rumunsko : župa)
ge114225,Chudenín (Česko)
ge114229,"Bezděkov (Havlíčkův Brod, Česko)"
ge114243,Nové Mitrovice (Česko)
ge114247,Dlažov (Česko)
ge114260,Plzeň 9-Malesice (Česko)
ge114305,"Žiželice (Louny, Česko)"
ge114328,Einsiedeln (Švýcarsko)
ge114365,Schwyz (Švýcarsko : kanton)
ge114399,Orša (Bělorusko)
ge114409,Ostřihom (Maďarsko)
ge114414,Pasov (Německo : oblast)
ge114422,Palencia (Španělsko)
ge114449,Paestum (zaniklé město)
ge114464,"Parc de Bagatelle (Paříž, Francie : park)"
ge114482,"Ouběnice (Příbram, Česko)"
ge114497,"Ouběnice (Bystřice, Benešov, Česko)"
ge114500,"Bystřice (Benešov, Česko)"
ge114513,"Bystřice (Frýdek-Místek, Česko)"
ge114514,"Bystřice (Jičín, Česko)"
ge114521,"Malenovice (Frýdek-Místek, Česko)"
ge114563,"Petrůvka (Zlín, Česko)"
ge114584,"Petrůvka (Městečko Trnávka, Česko)"
ge114591,Harghita (Rumunsko : pohoří)
ge114657,Vyklice (Česko : zaniklá obec)
ge114663,Trnov (Česko)
ge114717,Jílové u Držkova (Česko)
ge114756,"Holice (Olomouc, Česko)"
ge114778,Trojmezí (Šumava)
ge114782,"Třístoličník (Šumava, Česko a Německo : hora)"
ge114783,"Bohdalov (Městečko Trnávka, Česko)"
ge114799,Augst (Švýcarsko)
ge114804,Makedonie (Řecko)
ge114884,Makedonie (Bulharsko)
ge114885,Port Macquarie (Nový Jižní Wales)
ge114900,Poprad (Slovensko)
ge114907,Pravčice (Česko)
ge114910,"Přírodní park Šárka-Lysolaje (Praha, Česko)"
ge114958,Pletený Újezd (Česko)
ge115043,Puy-de-Dôme (Francie : departement)
ge115062,Plešivec (Slovensko)
ge115099,Pelée (Martinik : hora)
ge115103,"Chrášťovice (Strakonice, Česko)"
ge115106,"Mladotice (Plzeň-sever, Česko)"
ge115132,Šubířov (Česko)
ge115140,Slabce (Česko)
ge115144,"Dobříč (Praha-západ, Česko)"
ge115172,"Kojetín (Havlíčkův Brod, Česko)"
ge115223,"Kněžice (Nymburk, Česko)"
ge115246,"Srbice (Domažlice, Česko)"
ge115264,"Kněžice (Chrudim, Česko)"
ge115275,Bošilec (Česko)
ge115280,Brandenburg an der Havel (Německo)
ge115317,Neugersdorf (Německo)
ge115346,Ebersbach (Německo)
ge115375,Sohland an der Spree (Německo)
ge115483,"Pohořelice (Zlín, Česko)"
ge115487,"Plhov (Samšina, Česko)"
ge115493,"Plhov (Červené Janovice, Česko)"
ge115514,Červené Janovice (Česko)
ge115530,Samšina (Česko)
ge115545,Plzeň 1 (Česko)
ge115584,Plzeň 4 (Česko)
ge115591,"Střelecký ostrov (Praha, Česko)"
ge115595,Libošovice (Česko : oblast)
ge115621,Maghrib
ge115629,Syropalestina
ge115783,Kanaán
ge115794,"Borotín (Tábor, Česko)"
ge115826,"Borotín (Blansko, Česko)"
ge115827,"Łazienki (Varšava, Polsko : park)"
