place,QID
Praze,Q1085
Brně,Q14960
Plzni,Q43453
Olomouci,Q81137
Ostravě,Q8385
Českých Budějovicích,Q16506
Hradci Králové,Q180139
Zlíně,Q171018
Pardubicích,Q36989
Bratislavě,Q1780
Liberci,Q146351
Opavě,Q156080
Kroměříži,Q158239
Ústí nad Labem,Q156974
Uherském Hradišti,Q502993
Třebíči,Q270704
Přerově,Q470380
Jihlavě,Q183111
Kolíně,Q470369
Mladé Boleslavi,Q191805
Chrudimi,Q986070
Jičíně,Q656603
Jindřichově Hradci,Q368929
Kutné Hoře,Q155975
Klatovech,Q602976
Karlových Varech,Q384544
Litomyšli,Q722732
Havlíčkově Brodě,Q954596
Teplicích,Q146342
Strakonicích,Q750224
Turnově,Q851419
Vsetíně,Q513417
Domažlicích,Q986068
Rychnově nad Kněžnou,Q1000091
Znojmě,Q214956
Novém Městě na Moravě,Q986075
Litoměřicích,Q384403
Vyškově,Q954569
Šumperku,Q392692
Frýdku,Q9264038
Vysokém Mýtě,Q999916
Rakovníku,Q985465
Mostě,Q146363
Boskovicích,Q894440
Jablonci nad Nisou,Q147607
Ústí nad Orlicí,Q330409
Rokycanech,Q986072
Karviné,Q191793
Českém Krumlově,Q188082
Lounech,Q616877
Děčíně,Q146307
Slaném,Q1013909
Chomutově,Q146356
České Lípě,Q740863
Novém Jičíně,Q3584
Brandýse nad Labem,Q10815719
Poděbradech,Q683165
Poličce,Q1013914
Londýně,Q84
Šternberku,Q392429
Paříži,Q90
Roudnici nad Labem,Q63855
Chebu,Q193719
Jilemnici,Q368796
Trutnově,Q320950
Berlíně,Q64
Prachaticích,Q327764
Nymburce,Q430864
Krnově,Q1789604
Dačicích,Q1013843
Ivančicích,Q1008686
New Yorku,Q60
Velkém Meziříčí,Q703158
Třinci,Q986102
Nové Pace,Q1017251
Havířově,Q192904
Třeboni,Q773312
Českém Těšíně,Q278877
Dvoře Králové nad Labem,Q143664
Českém Brodě,Q341223
Novém Bydžově,Q1018857
Hranicích na Moravě,Q638306
Valticích,Q782147
Soběslavi,Q615138
Sokolově,Q727383
Svitavách,Q755698
Hořovicích,Q978707
Chlumci nad Cidlinou,Q1013858
Moravské Třebové,Q1000078
Holešově,Q961325
Lomnici nad Popelkou,Q1303768
Mariánských Lázních,Q523469
Varnsdorfu,Q158275
Čeladné,Q338391
Vlašimi,Q1000101
Vrchlabí,Q1008595
Římě,Q220
Vodňanech,Q1008983
Uherském Brodě,Q664895
Budapešti,Q1781
České Třebové,Q341056
Nymburku,Q430864
Moskvě,Q649
Vimperku,Q1013919
Duchcově,Q158584
Jeseníku,Q954611
Bohumíně,Q890949
Bílovci,Q1015409
Městci Králové,Q1861138
Bruntále,Q994280
Semilech,Q1008737
Dvoře Králové,Q143664
Novém Městě nad Metují,Q1019675
Dobrušce,Q1228928
Prešově,Q26119
Bystřici pod Hostýnem,Q941061
Chotěboři,Q430661
Kanadě,Q11734706
Břeclavi,Q581478
Nitře,Q26397
Benešově u Prahy,Q470394
Frenštátě pod Radhoštěm,Q668695
Hořicích v Podkrkonoší,Q927541
Trenčíně,Q145002
Heřmanově Městci,Q1617117
Týně nad Vltavou,Q815541
Drážďanech,Q1731
Kostelci nad Orlicí,Q1645575
Litovli,Q383850
Horažďovicích,Q641158
Žamberku,Q158272
Rajhradě,Q1279557
Rusku,Q12050369
Sobotce,Q1756917
Moravských Budějovicích,Q1019956
Martině,Q27001
Tišnově,Q161513
Lipníku nad Bečvou,Q1021080
Mnichově Hradišti,Q1017769
Lanškrouně,Q1000033
Slavičíně,Q1641705
Chocni,Q1019936
Kralupech nad Vltavou,Q987496
Přešticích,Q1020874
Skutči,Q1332942
Banské Bystrici,Q144983
Chicagu,Q1297
Zábřehu na Moravě,Q246634
Moravské Ostravě,Q3524703
Bechyni,Q20492
Hustopečích,Q1023875
Milevsku,Q1015011
Železném Brodě,Q393592
Hronově,Q1019365
Přelouči,Q1018341
Červeném Kostelci,Q158420
Sedlčanech,Q630358
Třešti,Q999899
koncentračním táboře Osvětim,Q7341
Kouřimi,Q934703
Lysé nad Labem,Q1018859
Rožnově pod Radhoštěm,Q1008696
Ledči nad Sázavou,Q1290479
Hluboké nad Vltavou,Q1010144
koncentračním táboře Mauthausen,Q160139
Mělníce,Q320939
Staré Boleslavi,Q3497265
Linci,Q41329
Žďáru nad Sázavou,Q394453
Orlové,Q386026
Rumburku,Q149103
Úpici,Q330259
Jevíčku,Q1632450
Moravském Krumlově,Q761439
Plané u Mariánských Lázní,Q1756940
Veselí nad Lužnicí,Q612646
České Skalici,Q341053
Kadani,Q158274
Kamenici nad Lipou,Q1019961
Ostrově nad Ohří,Q987487
Aši,Q583910
Rýmařově,Q1013850
Unhošti,Q1641761
Dobříši,Q16515
Novém Boru,Q1000086
Polici nad Metují,Q508591
Příboru,Q654019
Záhřebu,Q1435
Liptovském Mikuláši,Q272040
Vysokém nad Jizerou,Q164527
Lvově,Q36036
Norimberku,Q2090
Petrohradě,Q656
Tovačově,Q1261993
Čelákovicích,Q338616
Ivanovicích na Hané,Q163881
Místku,Q10816931
Vratislavi,Q1799
Kardašově Řečici,Q1729076
Novém Strašecí,Q1015273
Voticích,Q781530
Zvolenu,Q11874
Mladé Vožici,Q1456612
Valašských Kloboukách,Q1476819
Kelči,Q573642
Kostelci nad Černými Lesy,Q1641717
Libochovicích,Q1010617
Slezské Ostravě,Q3490367
Štýrském Hradci,Q13298
Vizovicích,Q1008610
Březových Horách,Q11706989
Slavkově u Brna,Q193724
Týništi nad Orlicí,Q2002875
Užhorodě,Q156711
Bělé pod Bezdězem,Q1019942
Kdyni,Q1737652
Kostelci nad Labem,Q1785189
Kraslicích,Q1000029
Protivíně,Q1017045
Hamburku,Q1055
Luhačovicích,Q933480
Podbořanech,Q1017247
Vamberku,Q1019344
Kopřivnici,Q849439
Levoči,Q242478
Těšíně,Q12060233
Veselí nad Moravou,Q105198
Zdicích,Q169133
Bavorově,Q791533
Kyjevě,Q1899
Miláně,Q490
Náměšti nad Oslavou,Q2427155
Ružomberku,Q27541
Torontu,Q172
Třebechovicích pod Orebem,Q1852528
Varšavě,Q270
Bílině,Q518360
Sadské,Q1298137
Sofii,Q472
Mníšku pod Brdy,Q2427117
Říčanech u Prahy,Q386988
Sarajevu,Q386988
Vlachově Březí,Q1401340
Antverpách,Q12892
Benátkách nad Jizerou,Q818540
Frýdku Místku,Q48194
Otrokovicích,Q1009095
Velké Bíteši,Q158429
Židlochovicích,Q393955
Frankfurtu nad Mohanem,Q1794
