abreviátor;Q176020
adiktolog;Q30096463
adiktoložka;Q30096463
advokát;Q40348
advokátka;Q40348
aforista;Q3606216
aforistka;Q3606216
afrikanista;Q15936497
agrobiolog;Q56677038
agrobioložka;Q56677038
agronom;Q1781198
agronomka;Q1781198
akademička;Q3400985
akademik;Q3400985
akarolog;Q19798999
akaroložka;Q19798999
akordeonista;Q1863064
akordeonistka;Q1863064
akrobat;Q11957145
akustička;Q61711955
akustik;Q61711955
algolog;Q12358881
algoložka;Q12358881
alchymista;Q15954519
amerikanista;Q16308157
amerikanistka;Q16308157
analytička;Q485178
analytik;Q485178
anatom;Q10872101
anatomka;Q10872101
anesteziolog;Q28837
anestezioložka;Q28837
angiochirurg;Q30115343
angiolog;Q30132173
angioložka;Q30132173
anglista;Q16308156
anglistka;Q16308156
animátor;Q266569
animátorka;Q266569
antikvář;Q5697103
antropolog;Q4773904
antropoložka;Q4773904
apidolog;Q19834743
apidoložka;Q19834743
apokrisiář;Q618870
arabista;Q620573
arabistka;Q620573
arachnolog;Q17344952
arachnoložka;Q17344952
arborista;Q776268
arboristka;Q776268
arcijáhen;Q633730
archeolog;Q3621491
archeoložka;Q3621491
archimandrita;Q213159
architekt;Q42973
architektka;Q42973
archivář;Q635734
archivářka;Q635734
armenolog;Q21280575
armenoložka;Q21280575
aromacholog;Q4795498
aromacholožka;Q4795498
aromaterapeut;Q27862253
astrobiolog;Q3061999
astrofyzička;Q752129
astrofyzik;Q752129
astrolog;Q155647
astroložka;Q155647
astronom;Q11063
astronomka;Q11063
asyriolog;Q19361459
automechanička;Q706835
automechanik;Q706835
badatel;Q1650915
badatelka;Q1650915
badmintonista;Q13141064
badmintonistka;Q13141064
bajkář;Q3064032
bakteriolog;Q15816836
bakterioložka;Q15816836
baletka;Q805221
balonář;Q728425
balonářka;Q728425
bankéř;Q806798
bankéřka;Q806798
baráčník;Q523213
basista;Q584301
basistka;Q584301
basketbalista;Q3665646
basketbalistka;Q3665646
baskytarista;Q12360214
baskytaristka;Q12360214
básník;Q49757
básnířka;Q49757
betlemář;Q59823990
betlemářka;Q59823990
biatlonista;Q16029547
biatlonistka;Q16029547
bibliograf;Q10429346
bibliografka;Q10429346
biofyzička;Q14906342
biofyzik;Q14906342
biogeochemik;Q18176481
biochemička;Q2919046
biochemik;Q2919046
bioinformatička;Q2904006
bioinformatik;Q2904006
bioinženýr;Q26848923
bioinženýrka;Q26848923
biolog;Q864503
bioložka;Q864503
biostatistik;Q52899051
biotechnolog;Q864835
biotechnoložka;Q864835
biskup;Q29182
bloger;Q8246794
blogerka;Q8246794
bobista;Q13383011
bobistka;Q13383011
bohemista;Q71049101
bohemistka;Q71049101
bookmaker;Q664702
botanička;Q2374149
botanik;Q2374149
boxer;Q11338576
boxerka;Q11338576
bryolog;Q16334507
bryoložka;Q16334507
bubenice;Q386854
bubeník;Q386854
byzantolog;Q26132815
byzantoložka;Q26132815
cembalista;Q5371902
cembalistka;Q5371902
ceremoniář;Q191578
cestopiskyně;Q3579035
cimbálista;Q22078111
cnidariolog;Q5137366
copywriter;Q14466416
cukrář;Q2992505
cukrářka;Q2992505
cukrářství;Q18646422
curler;Q17516936
cvočkařství;Q1750079
cyklista;Q2309784
cyklistka;Q2309784
cyklokrosař;Q15117415
cyklokrosařka;Q15117415
cytogenetička;Q71049338
cytogenetik;Q71049338
činovník;Q90238261
číšník;Q157195
dabér;Q11481802
dabérka;Q11481802
daguerrotypista;Q23011096
dekorátor;Q22811707
dekorátorka;Q22811707
delegát;Q994779
dělostřelec;Q4070283
demograf;Q12360779
demografka;Q12360779
démonolog;Q48558140
démonoložka;Q48558140
dendrolog;Q42296463
dentistka;Q27349
dermatolog;Q2447386
dermatoložka;Q2447386
dermatovenerolog;Q25543366
dermatoveneroložka;Q25543366
designér;Q5322166
designérka;Q5322166
diabetolog;Q20756907
diabetoložka;Q20756907
dialektolog;Q16880249
dialektoložka;Q16880249
diplomat;Q193391
diplomatička;Q47520669
diplomatik;Q47520669
diplomatka;Q193391
dirigent;Q158852
dirigentka;Q158852
diskžokej;Q130857
diskžokejka;Q130857
dispečer;Q570755
dokumentarista;Q11814411
dokumentaristka;Q11814411
dokumentátor;Q1235152
dokumentátorka;Q1235152
dominikán;Q63253698
dopisovatel;Q1155838
dopisovatelka;Q1155838
dopravce;Q561457
doxograf;Q16889429
dráhař;Q15117395
dráhařka;Q15117395
dramaturg;Q487596
dramaturgyně;Q487596
dráteník;Q338221
dražebník;Q2743689
dřevorubec;Q1124183
dřevorubkyně;Q1124183
dřevorytec;Q1437754
důstojnice;Q189290
důstojník;Q189290
ebenista;Q559597
egyptolog;Q1350189
egyptoložka;Q1350189
ekolog;Q15839134
ekoložka;Q15839134
ekonom;Q188094
ekonomka;Q188094
elektrikář;Q165029
elektrikářka;Q165029
elektrochemik;Q71126987
elektroinženýr;Q1326886
elektroinženýrka;Q1326886
elektronička;Q1326820
elektrooptička;Q71133935
elektrooptik;Q71133935
embryolog;Q16271428
encyklopedista;Q16314501
encyklopedistka;Q16314501
endokrinolog;Q4531850
endokrinoložka;Q4531850
entomolog;Q3055126
entomoložka;Q3055126
epidemiolog;Q13416803
epidemioložka;Q13416803
epigrafička;Q15632632
epigrafik;Q15632632
epigramatička;Q26237228
epigramatik;Q26237228
epileptolog;Q3432666
epileptoložka;Q3432666
epistemolog;Q15632482
ergonom;Q11697052
ergonomka;Q11697052
esejista;Q11774202
esejistka;Q11774202
esoterička;Q16004492
esoterik;Q16004492
esperantolog;Q56810907
esperantoložka;Q56810907
estetička;Q21550346
estetik;Q21550346
etnobotanička;Q32518759
etnobotanik;Q32518759
etnograf;Q12347522
etnografka;Q12347522
etnolog;Q1371378
etnoložka;Q1371378
etnomuzikolog;Q17484288
etnomuzikoložka;Q17484288
etolog;Q16831721
etoložka;Q16831721
etymolog;Q16312408
evangelista;Q1381391
existencialista;Q16897774
fagotista;Q12310971
fagotistka;Q12310971
farář;Q955464
farářka;Q955464
farmaceut;Q105186
farmaceutka;Q105186
farmakolog;Q2114605
farmakoložka;Q2114605
fashionista;Q5436793
fenomenolog;Q28045801
fenomenoložka;Q28045801
filmař;Q1414443
filmařka;Q1414443
filolog;Q13418253
filoložka;Q13418253
filozof;Q4964182
filozofka;Q4964182
finančnice;Q1979607
finančník;Q1979607
flétnista;Q12902372
flétnistka;Q12902372
florbalista;Q23868946
florbalistka;Q23868946
folklorista;Q3075052
folkloristka;Q3075052
foniatr;Q71127234
foniatrička;Q71127234
fonolog;Q46163584
fonoložka;Q46163584
fotbalista;Q937857
fotbalistka;Q937857
fotograf;Q33231
fotografka;Q33231
fotolaborantka;Q1439653
fotomodel;Q3357567
fotomodelka;Q3357567
fotoreportér;Q957729
fotoreportérka;Q957729
fotožurnalistka;Q957729
