andělé;Q235113
benediktini;Q131132
církevní historici;Q1743122
duchovní vůdci;Q64711780
filmoví herci;Q10800557
fotbalisté;Q937857
fotbaloví brankáři;Q201330
fotbaloví útočníci;Q280658
fyzici;Q169470
historici;Q201788
hokejisté;Q11774891
zvěroklestiči;Q10861660
katoličtí kněží;Q250867
knihaři;Q1413170
knihkupci;Q998550
knihovníci;Q182436
kněží;Q42603
kosmonauti;Q11631
íránisté;Q16832248
křesťanští mučedníci;Q107013
křesťanští mystici;Q43682214
letečtí konstruktéři;Q20972719
lingvisté;Q14467526
maltézští rytíři;Q59314023
manažerky;Q2462658
mystici;Q12328016
nakladatelé a vydavatelé;Q2516866
japanologové;Q15991218
knihovědci;Q33386280
arabisté;Q620573
politici;Q82955
umělečtí kritici;Q4164507
podnikatelky;Q131524
reformátoři;Q12049069
husaři;Q191713
rusisté;Q60098894
slavisté;Q15976341
umělci;Q483501
výtvarní umělci;Q3391743
mlynáři;Q694116
filozofové;Q4964182
herci;Q33999
hudebníci;Q639669
divadelní kritici;Q17337766
hudební kritici;Q1350157
panovníci;Q116
státníci;Q372436
dostihoví trenéři;Q112117897
fyziologové;Q2055046
admirálové;Q132851
advokáti;Q40348
afrikanisté;Q15936497
agronomové;Q1781198
akademici;Q3400985
televizní moderátorky;Q947873
recitátoři;Q23037330
rockové zpěvačky;Q104218554
filmoví animátoři;Q266569
antikváři;Q5697103
antropologové;Q4773904
archeologové;Q3621491
architekti;Q42973
arcibiskupové;Q49476
astrofyzici;Q752129
astrologové;Q155647
astronomové;Q11063
automobiloví závodníci;Q10349745
baletní umělci;Q805221
bandité;Q16144978
basketbalisté;Q3665646
bibliografové;Q10429346
biochemici;Q2919046
bohemisté;Q71049101
bohoslovci;Q11217731
botanici;Q2374149
cestovatelé;Q22813352
charitativní pracovnice;Q66660783
chemici;Q593644
chirurgové;Q774306
choreografové;Q2490358
cukrovarníci;Q101991455
daňoví poradci;Q688576
designéři;Q5322166
diplomaté;Q193391
dirigenti;Q158852
divadelní herci;Q2259451
divadelní herečky;Q2259451
divadelní režiséři;Q3387717
dobyvatelé;Q3683504
dramatici;Q214917
egyptologové;Q1350189
ekologové;Q15839134
ekonomové;Q188094
entomologové;Q3055126
etnobotanici;Q32518759
etnografové;Q12347522
etnologové;Q1371378
evangeličtí teologové;Q98833883
fakíři;Q491656
farmaceuti;Q105186
filmové herečky;Q10800557
filmoví kaskadéři;Q465501
filmoví producenti;Q3282637
filmoví režiséři;Q2526255
filmoví scenáristé;Q69423232
filologové;Q13418253
filozofky;Q4964182
finančníci;Q1979607
folkloristé;Q3075052
fotbaloví trenéři;Q628099
fotografky;Q33231
fotografové;Q33231
genealogové;Q8963721
genetici;Q3126128
geografové;Q901402
geologové;Q520549
grafici;Q1925963
gynekologie;Q1221899
hasiči;Q107711
heraldici;Q516463
herečky;Q33999
historici umění;Q1792450
hokejoví brankáři;Q1317534
horníci;Q820037
horolezci;Q9149093
houslaři;Q762707
houslisté;Q1259917
hráči na žesťové nástroje;Q25829748
hudebnice;Q639669
hudební pedagogové;Q16145150
hudební skladatelé;Q36834
humanisté;Q10527030
homeopati;Q12020057
imámové;Q125482
indologové;Q18524037
informační pracovníci;Q1662485
intelektuálové;Q58968
charitativní pracovníci;Q66660783
inženýři;Q81096
krotitelé;Q18340078
jasnovidci;Q2191756
jazzové hudebnice;Q15981151
jazzoví hudebníci;Q15981151
jednatelé;Q705996
jezuité;Q63173086
jógíni;Q2901587
kameramani;Q222344
kanoisté;Q13382566
kanovníci;Q1104153
kardinálové;Q45722
sportovní gymnastky;Q13381572
kartografové;Q1734662
kati;Q207651
kazatelé;Q432386
klavíristky;Q486748
knihovnice;Q182436
knihtiskaři;Q40881196
krasobruslaři;Q13219587
kronikáři;Q3330547
kulturisté;Q15982795
kytaristé;Q855091
křesťanky;Q106039
křesťanští teologové;Q55737401
legionáři;Q1629605
lesníci;Q1895303
letci;Q2095549
lexikografové;Q14972848
lidoví léčitelé;Q2518689
literární historici;Q13570226
literární kritici;Q4263842
literární vědci;Q17167049
lámové;Q191421
lékaři;Q39631
malíři;Q1028181
malířky;Q1028181
manažeři;Q2462658
maršálové;Q111837
matematici;Q170790
mecenáši;Q15472169
mikrobiologové;Q3779582
mimové;Q674067
mineralogové;Q13416354
misionáři;Q219477
modelky;Q4610556
molekulární biologové;Q15839206
muzikologové;Q14915627
myslivci;Q112130421
mágové;Q2488257
mědirytci;Q13365770
novináři;Q1930187
novinářky;Q1930187
náboženští konvertité;Q12322696
náboženští zakladatelé;Q2142783
námořníci;Q45199
oceánografové;Q3546255
okultisté;Q12797895
onkologičtí pacienti;Q112129681
operní zpěvačky;Q2865819
operní režiséři;Q28054786
operní zpěváci;Q2865819
orientalisté;Q1731155
ornitologové;Q1225716
osobní strážci;Q851436
paleontologové;Q1662561
panovnice;Q116
papežové;Q19546
vojenští parašutisté;Q749387
piráti;Q10729326
pivovarníci;Q836904
podnikatelé;Q131524
podvodníci;Q14948222
policisté;Q384593
političtí vězni;Q217105
politologové;Q1238570
polonisté;Q20179720
porodní asistentky;Q185196
poustevníci;Q189829
prezidenti;Q30461
profesionální sportovci;Q27503001
profesionální řidiči;Q352388
právní poradci;Q2135469
právníci;Q185351
průmyslníci;Q6606110
psychiatři;Q211346
psychoanalytičky;Q3410028
psychologové;Q212980
psychoterapeuti;Q1900167
psychoterapeutky;Q1900167
publicisté;Q6051619
písaři;Q916292
písničkáři;Q488205
překladatelé;Q333634
rabíni;Q133485
radioamatéři;Q1939892
rektoři;Q212071
religionisté;Q19829980
revolucionáři;Q3242115
rockoví hudebníci;Q29017403
rybníkáři;Q108894240
rytíři;Q102083
samurajové;Q38142
sběratelé;Q3243461
sedláci;Q838811
senátoři;Q15686806
sexuologové;Q2920595
skauti;Q18121791
sochaři;Q1281618
sociologové;Q2306091
socioložky;Q2306091
sociální pracovnice;Q7019111
sociální pracovníci;Q7019111
sofisté;Q3750514
soudci;Q16533
speciální pedagogové;Q1030095
spisovatelky;Q36180
spisovatelé;Q36180
sportovci;Q2066131
sportovní gymnasté;Q13381572
správní úředníci;Q23656820
stavební inženýři;Q13582652
stavitelé;Q289612
stomatologové;Q16061291
státní zaměstnanci;Q212238
státní zástupci;Q600751
středoškolští studenti;Q15360275
středoškolští učitelé;Q5758653
televizní moderátoři;Q947873
televizní reportéři;Q22976182
tenisté;Q10833314
teologové;Q1234713
textaři;Q822146
tlumočníci;Q11085831
trubadúři;Q186370
trávníkáři;Q202688
